"TIME","GEO","TRA_INFR","UNIT","Value","Flag and Footnotes"
"2007","Slovakia","E-roads","Kilometre","1,559.5",""
"2007","Finland","Motorways","Kilometre","700",""
"2007","Finland","E-roads","Kilometre","4,279",""
"2007","Sweden","Motorways","Kilometre","1,836",""
"2007","Sweden","E-roads","Kilometre","6,406",""
"2007","United Kingdom","Motorways","Kilometre","3,673.64","d"
"2007","United Kingdom","E-roads","Kilometre","3,756","d"
"2007","Iceland","Motorways","Kilometre",":",""
"2007","Iceland","E-roads","Kilometre",":",""
"2007","Norway","Motorways","Kilometre","239",""
"2007","Norway","E-roads","Kilometre",":",""
"2007","Switzerland","Motorways","Kilometre","1,383",""
"2007","Switzerland","E-roads","Kilometre","1,466",""
"2007","Former Yugoslav Republic of Macedonia, the","Motorways","Kilometre","221",""
"2007","Former Yugoslav Republic of Macedonia, the","E-roads","Kilometre","553",""
"2007","Turkey","Motorways","Kilometre","1,908",""
"2007","Turkey","E-roads","Kilometre","8,878",""
"2008","Belgium","Motorways","Kilometre","1,763",""
"2008","Belgium","E-roads","Kilometre",":",""
"2008","Bulgaria","Motorways","Kilometre","418",""
"2008","Bulgaria","E-roads","Kilometre",":",""
"2008","Czechia","Motorways","Kilometre","691",""
"2008","Czechia","E-roads","Kilometre","2,604",""
"2008","Denmark","Motorways","Kilometre","1,128",""
"2008","Denmark","E-roads","Kilometre","936",""
"2008","Germany (until 1990 former territory of the FRG)","Motorways","Kilometre","12,645",""
"2008","Germany (until 1990 former territory of the FRG)","E-roads","Kilometre",":",""
"2008","Estonia","Motorways","Kilometre","104",""
"2008","Estonia","E-roads","Kilometre",":",""
"2008","Ireland","Motorways","Kilometre","423",""
"2008","Ireland","E-roads","Kilometre",":",""
"2008","Greece","Motorways","Kilometre",":",""
"2008","Greece","E-roads","Kilometre",":",""
"2008","Spain","Motorways","Kilometre","13,518","d"
"2008","Spain","E-roads","Kilometre",":",""
"2008","France","Motorways","Kilometre","11,042",""
"2008","France","E-roads","Kilometre","13,218",""
"2008","Croatia","Motorways","Kilometre","1,199","d"
"2008","Croatia","E-roads","Kilometre","2,256",""
"2008","Italy","Motorways","Kilometre","6,629",""
"2008","Italy","E-roads","Kilometre",":",""
